Captain_Sequence,taxon,lifestyle
capepi1_1814,Chaetothyriales,Non-Lichen
chaetothyriales.sp..1_tyr955,Chaetothyriales,Endolichenic
melanina.sp..2_tyr3167,Chaetothyriales,Endolichenic
dimelaena.oreina.1_tyr2942,Lecanoromycetes,Lichenized
leprocaulales.sp..1_tyr1393,Lecanoromycetes,Lichenized
porpidia.contraponenda.1_tyr415,Lecanoromycetes,Lichenized
rhizocarpon.subgeminatum.1_tyr3275,Lecanoromycetes,Lichenized
umbilicaria.crustulosa.1_tyr1022,Lecanoromycetes,Lichenized
umbilicaria.crustulosa.2_tyr2734,Lecanoromycetes,Lichenized
umbilicaria.deusta.4_tyr2123,Lecanoromycetes,Lichenized
umbilicaria.spodochroa.2_tyr2686,Lecanoromycetes,Lichenized
endocarpon.pusillum.1_tyr2645,Other Eurotiomycetes,Lichenized
endocarpon.pusillum.1_tyr3654,Other Eurotiomycetes,Lichenized
endocarpon.pusillum.1_tyr746,Other Eurotiomycetes,Lichenized
endocarpon.pusillum.2_tyr309,Other Eurotiomycetes,Lichenized
muellerella.sp..1_tyr1325,Other Eurotiomycetes,Endolichenic
muellerella.sp..1_tyr3262,Other Eurotiomycetes,Endolichenic
muellerella.sp..1_tyr3721,Other Eurotiomycetes,Endolichenic
phachl1_tyr9076,Other Eurotiomycetes,Non-Lichen
penfla1_tyr8805,Outgroup,Outgroup